obs,Site,Latitude,Longitude,tm,ts,tn,cm,cs,cn,MAP,N_addtion,pH,MAT,SOC,TN,TP,CNR,NPR,MBC,MBN,MCNR
1,1,29.33,101.5,0.431728045,0.027,3,0.428328612,0.025,3,>800,<100,6.03,14,32.68,3.19,0.94775,10.04,3.35,233.1,37.53,6.2
2,1,29.33,101.5,0.47082153,0.012,3,0.428328612,0.025,3,>800,<100,5.91,14,20.59,1.93,1.03995,10.39,1.81,208.47,35.67,5.844407065
3,1,29.33,101.5,0.48101983,0.02,3,0.428328612,0.025,3,>800,<100,5.66,14,27.14,3.15,1.09737,12.44,2.03,162.1,35.1,4.618233618
4,1,30.33,102.25,0.447025496,0.019,3,0.389235127,0.051,3,>800,<100,5.74,14,31.3,2.3,1.09277,13.49,2.13,210.87,35.13,6.002561913
5,1,30.33,102.25,0.474220963,0.034,3,0.389235127,0.051,3,>800,<100,5.9,14,16.77,1.31,0.91463,11.47,1.72,171.07,35.1,4.873789174
6,1,30.33,102.25,0.482719547,0.02,3,0.389235127,0.051,3,>800,<100,5.63,14,15.85,2.19,0.85528,11.83,1.53,179.13,39.9,4.489473684
7,2,24.95,104.98,0.180645161,0.082,3,0.133333333,0.019,3,>800,<100,7.24,19,49.43,4.53,2.31,10.92,2.02,2185.46,355.3593496,6.15
8,2,24.95,104.98,0.262365591,0.106,3,0.133333333,0.019,3,>800,100-200,7.3,19,52.58,4.82,2.39,10.95,2,2356.73,394.7621441,5.97
9,2,25.09,105.06,0.405376344,0.084,3,0.174193548,0.102,3,>800,<100,7.5,19,56.6,5.17,1.76,10.92,3.03,2934.74,492.4060403,5.96
10,2,25.09,105.06,0.372043011,0.078,3,0.174193548,0.102,3,>800,100-200,7.46,19,67.37,6.19,2.07,10.9,3,3071.8,487.5873016,6.3
11,3,25.63,118.08,0.342274678,0.07,4,0.272532189,0.06,4,>800,<100,4.75,19.5,60.8,3.36,0.227,17.28,14.80176211,1747.1,94.07,18.57277477
12,3,25.72,118.33,0.39806867,0.04,4,0.272532189,0.06,4,>800,<100,4.5,19.5,61.78,3.62,0.2341,17.02,15.46347715,1377.5,89.71,15.35512821
13,4,25.63,118.08,0.542243437,0.015,4,0.519331742,0.027,4,>800,<100,4.75,15.6,60.8,3.36,NA,18.0952381,NA,1742.11,93.95,18.54294838
14,4,25.63,118.08,0.568973747,0.013,4,0.519331742,0.027,4,>800,<100,4.5,15.6,61.78,3.62,NA,17.06629834,NA,1371.47,89.79,15.27419534
15,5,25.63,118.08,0.466666667,0.037,4,0.525925926,0.048,4,>800,<100,3.96,19.5,25.91240876,3.71,2.03,15.37,1.96,621.98,57.85,10.75159896
16,5,25.63,118.08,0.468518519,0.041,4,0.525925926,0.048,4,>800,<100,3.96,19.5,14.96350365,3.74,2.76,15.5,1.378709677,602.81,48.84,12.34254709
17,6,28.11,111.9,0.113316583,0.004,3,0.132160804,0.011,3,>800,>200,6.48,17,17.48,1.87,NA,9.347593583,NA,801.4,119.6,6.93729097
18,7,26.75,111.86,0.63467048,0.02,4,0.666144005,0.013,4,>800,>200,4.41,18.1,10.51,1.35,1.28,7.785185185,1.0546875,86.52,NA,NA
19,8,28.11,112.3,0.492162162,0.039,4,0.477567568,0.021,4,>800,>200,5.8,17.2,20.23952096,2.169565217,NA,9.35,NA,1132,NA,NA
20,9,28.41,116.55,0.38,0.032,3,0.3102,0.023,3,>800,100-200,4.4,18,9.2,1.07,0.77,8.598130841,1.38961039,127.35,NA,NA
21,10,49.49,14.1,0.450828729,0.05,3,0.310276243,0.06,3,>800,100-200,5.1,7,43.9,4.2,0.3491,10.45238095,12.03093669,1367.9,NA,NA
22,10,49.49,14.1,0.41038674,0.05,3,0.310276243,0.06,3,>800,100-200,6,7,33.2,3.4,2.0497,9.764705882,1.658779334,901.9,NA,NA
